,value
a1,0.0
a2,0.01762422285152665
a3,0.012561637013342342
a4,0.06491242662585539
a5,0.040810042855888407
a6,0.06328059068295278
a7,0.0027096099907186755
a8,0.011726586520831805
a9,0.0206622335769433
a10,0.015916449153751566
a11,0.0480981177495452
a12,0.04229213138850607
a13,0.05069520271916628
a14,0.07455323353137411
a15,0.04203426439152658
a16,0.0705667738610607
a17,0.034587478060478016
a18,0.014075647816293557
a19,0.02837809629929433
a20,0.0
a21,0.0010448795265549649
a22,0.01388379258999839
a23,0.0
a24,0.02801133380384324
a25,0.05521621755891237
a26,0.08405952134758432
a27,0.0
28,0.013395179303774984
a29,0.06668257861052407
a30,0.06474427741328248
a31,0.024815986072475482
a32,0.0509343612237676
a33,0.05981439446965586
a34,0.04464593902520897
a35,0.007534450790262159
a36,0.05237442549997562
37,0.0
a38,0.0
a39,0.06727000506156111
a40,0.11541062178767514
a41,0.15238653335196606
a42,0.09278514922826164
a43,0.014217097636098242
a44,0.07272397000271535
